Lake George Water Temp 2020,
7/14/2020,75.43
7/15/2020,75.31
7/15/2020,75.31
7/15/2020,75.31
7/15/2020,75.09
7/15/2020,75.09
7/15/2020,75.09
7/15/2020,74.97
7/15/2020,74.97
7/15/2020,74.97
7/15/2020,74.86
7/15/2020,74.86
7/15/2020,74.97
7/15/2020,74.86
7/15/2020,74.86
7/15/2020,74.75
7/15/2020,74.75
7/15/2020,74.75
7/15/2020,74.86
7/15/2020,74.86
7/15/2020,74.86
7/15/2020,74.97
7/15/2020,75.09
7/15/2020,75.54
7/15/2020,75.65
7/15/2020,75.76
7/15/2020,75.87
7/15/2020,75.87
7/15/2020,75.99
7/15/2020,76.55
7/15/2020,76.66
7/15/2020,76.55
7/15/2020,76.66
7/15/2020,76.78
7/15/2020,76.78
7/15/2020,76.78
7/15/2020,76.66
7/15/2020,76.66
7/15/2020,76.66
7/15/2020,76.66
7/15/2020,76.78
7/15/2020,76.66
7/15/2020,76.66
7/15/2020,76.66
7/15/2020,76.66
7/15/2020,76.44
7/15/2020,76.44
7/15/2020,76.44
7/16/2020,76.32
7/16/2020,76.21
7/16/2020,76.1
7/16/2020,76.1
7/16/2020,76.21
7/16/2020,76.1
7/16/2020,75.99
7/16/2020,75.99
7/16/2020,75.99
7/16/2020,75.99
7/16/2020,75.87
7/16/2020,75.76
7/16/2020,75.76
7/16/2020,75.76
7/16/2020,75.76
7/16/2020,75.76
7/16/2020,75.76
7/16/2020,75.76
7/16/2020,75.99
7/16/2020,75.99
7/16/2020,75.87
7/16/2020,75.87
7/16/2020,75.76
7/16/2020,75.76
7/16/2020,75.43
7/16/2020,75.31
7/16/2020,75.2
7/16/2020,75.2
7/16/2020,75.09
7/16/2020,75.09
7/17/2020,74.86
7/17/2020,74.19
7/17/2020,74.19
7/17/2020,73.85
7/17/2020,73.51
7/17/2020,73.4
7/17/2020,73.18
7/17/2020,73.18
7/17/2020,73.06
7/17/2020,72.95
7/17/2020,72.61
7/17/2020,72.16
7/17/2020,72.39
7/17/2020,71.94
7/17/2020,71.94
7/17/2020,72.28
7/17/2020,69.01
7/17/2020,68.68
7/17/2020,68.56
7/17/2020,70.03
7/17/2020,69.57
7/17/2020,68.34
7/17/2020,68.34
7/17/2020,67.89
7/17/2020,68.68
7/18/2020,70.14
7/18/2020,70.25
7/18/2020,70.7
7/18/2020,70.93
7/18/2020,70.93
7/18/2020,71.04
7/18/2020,71.37
7/18/2020,71.26
7/18/2020,71.37
7/18/2020,71.37
7/18/2020,71.49
7/18/2020,71.49
7/18/2020,71.6
7/18/2020,71.6
7/18/2020,71.71
7/18/2020,71.94
7/18/2020,72.05
7/18/2020,72.16
7/18/2020,72.39
7/18/2020,72.84
7/18/2020,72.95
7/18/2020,72.95
7/18/2020,72.95
7/18/2020,73.06
7/18/2020,73.18
7/18/2020,73.4
7/18/2020,73.85
7/18/2020,73.85
7/18/2020,73.85
7/18/2020,73.74
7/18/2020,73.51
7/18/2020,73.4
7/19/2020,73.29
7/19/2020,73.18
7/19/2020,73.06
7/19/2020,73.06
7/19/2020,72.72
7/21/2020,72.39
7/21/2020,72.61
7/21/2020,73.18
7/21/2020,73.29
7/21/2020,73.51
7/21/2020,73.85
7/21/2020,73.85
7/21/2020,73.74
7/21/2020,75.09
7/21/2020,75.76
7/21/2020,75.65
7/21/2020,75.65
7/21/2020,75.65
7/21/2020,75.54
7/21/2020,75.54
7/21/2020,75.54
7/21/2020,75.54
7/21/2020,75.43
7/21/2020,75.2
7/21/2020,75.09
7/21/2020,74.97
7/22/2020,74.97
7/22/2020,74.3
7/22/2020,74.3
7/22/2020,74.3
7/22/2020,74.3
7/22/2020,74.19
7/22/2020,74.3
7/22/2020,74.3
7/22/2020,74.3
7/22/2020,74.53
7/22/2020,74.41
7/22/2020,74.41
7/22/2020,74.41
7/22/2020,74.53
7/22/2020,74.53
7/22/2020,74.53
7/22/2020,74.53
7/22/2020,74.64
7/22/2020,74.97
7/22/2020,74.97
7/22/2020,75.09
7/22/2020,75.09
7/22/2020,75.09
7/22/2020,75.09
7/22/2020,75.09
7/22/2020,75.09
7/22/2020,75.09
7/22/2020,74.97
7/22/2020,75.09
7/22/2020,75.09
7/22/2020,74.86
7/22/2020,74.75
7/22/2020,74.97
7/22/2020,74.86
7/23/2020,74.75
7/23/2020,74.64
7/23/2020,74.64
7/23/2020,74.53
7/23/2020,74.53
7/23/2020,74.53
7/23/2020,74.53
7/23/2020,74.53
7/23/2020,74.3
7/23/2020,74.3
7/23/2020,74.3
7/23/2020,74.41
7/23/2020,74.53
7/23/2020,74.41
7/23/2020,74.41
7/23/2020,74.41
7/23/2020,74.53
7/23/2020,74.64
7/23/2020,74.86
7/23/2020,74.86
7/23/2020,74.86
7/23/2020,74.97
7/23/2020,75.2
7/23/2020,75.31
7/23/2020,75.54
7/23/2020,75.65
7/23/2020,75.87
7/23/2020,75.99
7/23/2020,75.99
7/23/2020,75.99
7/23/2020,76.1
7/23/2020,75.99
7/23/2020,76.1
7/23/2020,75.99
7/23/2020,75.87
7/23/2020,75.87
7/23/2020,75.65
7/23/2020,75.54
7/23/2020,75.43
7/24/2020,75.31
7/24/2020,75.2
7/24/2020,74.97
7/24/2020,74.97
7/24/2020,74.97
7/24/2020,74.97
7/24/2020,74.75
7/24/2020,74.97
7/24/2020,74.75
7/24/2020,74.86
7/24/2020,74.97
7/24/2020,75.2
7/24/2020,75.2
7/24/2020,75.31
7/24/2020,75.76
7/24/2020,75.76
7/24/2020,75.76
7/24/2020,75.87
7/24/2020,75.87
7/24/2020,75.99
7/24/2020,76.1
7/24/2020,76.1
7/24/2020,76.21
7/24/2020,76.32
7/24/2020,76.44
7/24/2020,76.32
7/24/2020,76.44
7/24/2020,76.55
7/24/2020,76.66
7/24/2020,76.78
7/24/2020,76.78
7/24/2020,77.22
7/24/2020,77.34
7/24/2020,77.56
7/24/2020,77.79
7/24/2020,77.68
7/24/2020,77.56
7/24/2020,76.89
7/24/2020,76.89
7/24/2020,76.89
7/24/2020,76.89
7/24/2020,76.78
7/24/2020,76.66
7/25/2020,76.55
7/25/2020,76.32
7/25/2020,76.21
7/25/2020,76.1
7/25/2020,76.1
7/25/2020,76.1
7/25/2020,75.99
7/25/2020,75.87
7/25/2020,75.99
7/25/2020,75.99
7/25/2020,75.87
7/25/2020,75.87
7/25/2020,75.87
7/25/2020,75.99
7/25/2020,76.1
7/25/2020,76.1
7/25/2020,76.1
7/25/2020,76.21
7/25/2020,76.66
7/25/2020,77
7/25/2020,77.22
7/25/2020,77.34
7/25/2020,77.45
7/25/2020,77.45
7/25/2020,77.45
7/25/2020,77.45
7/25/2020,77.56
7/25/2020,77.45
7/25/2020,77.45
7/25/2020,77.34
7/25/2020,77.22
7/25/2020,77.22
7/25/2020,77.11
7/25/2020,77.11
7/25/2020,77.11
7/25/2020,77.11
7/25/2020,77
7/25/2020,76.89
7/25/2020,76.89
7/25/2020,76.78
7/25/2020,76.78
7/26/2020,76.66
7/26/2020,76.55
7/26/2020,76.44
7/26/2020,76.32
7/26/2020,76.32
7/26/2020,76.21
7/26/2020,76.1
7/26/2020,76.21
7/26/2020,76.1
7/26/2020,76.1
7/26/2020,75.87
7/26/2020,75.87
7/26/2020,75.76
7/26/2020,75.76
7/26/2020,75.65
7/26/2020,75.99
7/26/2020,76.44
7/26/2020,77.34
7/26/2020,77.34
7/26/2020,77.34
7/26/2020,77.34
7/26/2020,77.45
7/26/2020,77.45
7/26/2020,77.45
7/26/2020,77.45
7/26/2020,77.45
7/26/2020,77.45
7/26/2020,77.34
7/26/2020,77.34
7/26/2020,77.22
7/26/2020,77.11
7/26/2020,77
7/27/2020,76.89
7/27/2020,76.78
7/27/2020,76.44
7/27/2020,75.76
7/27/2020,75.54
7/27/2020,75.54
7/27/2020,75.54
7/27/2020,75.76
7/27/2020,75.87
7/27/2020,75.87
7/27/2020,75.99
7/27/2020,76.32
7/27/2020,76.21
7/27/2020,76.55
7/27/2020,76.55
7/27/2020,76.66
7/27/2020,76.89
7/27/2020,77
7/27/2020,77.34
7/27/2020,77.11
7/27/2020,77
7/27/2020,77
7/27/2020,77.22
7/27/2020,75.31
7/27/2020,74.75
7/27/2020,75.2
7/27/2020,74.64
7/27/2020,74.53
7/27/2020,74.53
7/27/2020,74.53
7/27/2020,74.64
7/28/2020,74.19
7/28/2020,73.96
7/28/2020,74.3
7/28/2020,73.96
7/28/2020,73.74
7/28/2020,73.51
7/28/2020,73.74
7/28/2020,73.4
7/28/2020,73.4
7/28/2020,74.86
7/28/2020,74.75
7/28/2020,74.86
7/28/2020,74.86
7/28/2020,74.97
7/28/2020,75.31
7/28/2020,75.31
7/28/2020,75.43
7/28/2020,76.21
7/28/2020,76.66
7/28/2020,76.78
7/28/2020,76.89
7/28/2020,76.89
7/28/2020,76.66
7/28/2020,76.66
7/28/2020,76.55
7/28/2020,76.55
7/28/2020,76.32
7/28/2020,76.21
7/28/2020,76.21
7/28/2020,76.1
7/29/2020,75.99
7/29/2020,75.87
7/29/2020,75.76
7/29/2020,75.54
7/29/2020,75.2
7/29/2020,74.75
7/29/2020,74.64
7/29/2020,74.64
7/29/2020,74.64
7/29/2020,74.53
7/29/2020,74.53
7/29/2020,74.53
7/29/2020,74.41
7/29/2020,74.75
7/29/2020,75.2
7/29/2020,75.31
7/29/2020,75.31
7/29/2020,75.31
7/29/2020,75.31
7/29/2020,75.31
7/29/2020,75.31
7/29/2020,75.43
7/29/2020,75.43
7/29/2020,75.43
7/29/2020,75.54
7/29/2020,75.54
7/29/2020,75.43
7/29/2020,75.31
7/29/2020,75.2
7/30/2020,74.3
7/30/2020,74.3
7/30/2020,73.4
7/30/2020,73.4
7/30/2020,73.4
7/30/2020,73.4
7/30/2020,73.4
7/30/2020,73.4
7/30/2020,73.74
7/30/2020,73.85
7/30/2020,73.96
7/30/2020,73.96
7/30/2020,73.85
7/30/2020,73.96
7/30/2020,73.96
7/30/2020,73.96
7/30/2020,74.53
7/30/2020,75.2
7/30/2020,75.2
7/30/2020,75.2
7/30/2020,75.2
7/30/2020,75.31
7/30/2020,75.31
7/30/2020,75.43
7/30/2020,75.43
7/30/2020,75.31
7/30/2020,75.09
7/30/2020,74.97
7/31/2020,74.86
7/31/2020,74.75
7/31/2020,74.75
7/31/2020,74.64
7/31/2020,74.64
7/31/2020,74.41
7/31/2020,74.41
7/31/2020,73.96
7/31/2020,74.07
7/31/2020,74.07
7/31/2020,74.07
7/31/2020,74.07
7/31/2020,74.19
7/31/2020,74.19
7/31/2020,74.41
7/31/2020,74.41
7/31/2020,74.41
7/31/2020,74.64
7/31/2020,74.75
7/31/2020,74.86
7/31/2020,74.97
7/31/2020,75.54
7/31/2020,75.54
7/31/2020,75.87
7/31/2020,76.44
7/31/2020,76.55
7/31/2020,76.66
7/31/2020,76.55
7/31/2020,76.21
7/31/2020,76.21
8/1/2020,75.99
8/1/2020,75.99
8/1/2020,75.87
8/1/2020,75.87
8/1/2020,75.31
8/1/2020,75.43
